lesson_id,title,teaching_start_page,teaching_end_page,practice_sheet,practice_workbook,protected_review,review_page
AX1,Advanced formulas without formula spaghetti,6,9,AX1_Formulas,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
AX2,"XLOOKUP, INDEX/MATCH and lookup design",10,13,AX2_Lookups,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
AX3,"Dynamic arrays: FILTER, UNIQUE, SORT and spill-safe workflows",14,17,AX3_Dynamic_Arrays,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
AX4,"SUMIFS, COUNTIFS and auditable conditional KPIs",18,21,AX4_Conditional_KPIs,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
AX5,Advanced PivotTables and business summaries,22,25,AX5_Pivots,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
AX6,Power Query architecture and repeatable imports,26,29,AX6_PQ_Architecture,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
AX7,Cleaning and transforming multiple files,30,33,AX7_PQ_Folder,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
AX8,Merge vs append and relationship/grain mistakes,34,37,AX8_Merge_Append,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
AX9,Parameters and reusable query design,38,41,AX9_Parameters,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
AX10,Refreshable monthly reporting workflow,42,45,AX10_Month_End,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
