lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_sheet,practice_workbook,protected_review,review_page
CLD1,Cloud data fundamentals,6,9,P_CLD1,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
CLD2,"Compute, storage and identity concepts",10,13,P_CLD2,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
CLD3,Microsoft Fabric ecosystem,14,17,P_CLD3,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
CLD4,"OneLake, lakehouse and warehouse concepts",18,21,P_CLD4,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
CLD5,Power BI Service in enterprise environments,22,25,P_CLD5,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
CLD6,Workspaces and deployment concepts,26,29,P_CLD6,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
CLD7,"Refresh, gateways and scheduled operations",30,33,P_CLD7,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
CLD8,Permissions and governance,34,37,P_CLD8,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
CLD9,Monitoring and failure awareness,38,41,P_CLD9,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
CLD10,Analyst - analytics engineer - data engineer collaboration,42,45,P_CLD10,02_PRACTICE/C2_07_ENTERPRISE_OPERATIONS_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_07_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
