lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_sheet,practice_workbook,protected_review,review_page
DWF1,Operational databases vs analytical systems,6,9,P_DWF1,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
DWF2,OLTP vs OLAP,10,13,P_DWF2,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
DWF3,Data warehouses,14,17,P_DWF3,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
DWF4,"Facts, dimensions and dimensional modeling",18,21,P_DWF4,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
DWF5,Surrogate keys and business keys,22,25,P_DWF5,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
DWF6,Slowly changing dimensions,26,29,P_DWF6,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
DWF7,ETL vs ELT,30,33,P_DWF7,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
DWF8,"Staging, transformation and presentation layers",34,37,P_DWF8,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
DWF9,Data lakes and lakehouses,38,41,P_DWF9,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
DWF10,Batch vs streaming concepts,42,45,P_DWF10,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
DWF11,Data lineage and metadata,46,49,P_DWF11,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,12
DWF12,Quality controls across a pipeline,50,53,P_DWF12,02_PRACTICE/C2_06_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_06_PRACTICE_REVIEW_PROTECTED_RC1.pdf,13
