lesson_id,role,source_name,url,useful_segment,verification_status,fallback_or_note
SBA1,REQUIRED VIDEO,Passionate Business Analyst - Stakeholder Interview,https://www.youtube.com/watch?v=TAhivp4Iu-o,0:00 interview; 1:56 three steps; 8:23 pro tips,VIDEO_METADATA_VERIFIED_2026-09-10,Visual support; internal question framework assessed.
SBA1;SBA5,CURRENT TRAINING,Microsoft Learn - Scope report design requirements,https://learn.microsoft.com/en-us/training/modules/power-bi-effective-requirements/,29 min; audience/business goals/report requirements,WEB_VERIFIED_2026-09-10,Useful requirements/report-audience alignment.
SBA1-SBA3;SBA8;SBA10;SBA12,CURRENT REFERENCE,Fabric adoption roadmap - Business alignment,https://learn.microsoft.com/en-us/power-bi/guidance/fabric-adoption-roadmap-business-alignment,"Requirements, cross-functional communication, feedback, priorities",WEB_VERIFIED_2026-09-10,Current BI business-alignment guidance.
SBA1;SBA3;SBA5,CURRENT REFERENCE,Power BI implementation planning - BI strategic planning,https://learn.microsoft.com/en-us/power-bi/guidance/powerbi-implementation-planning-bi-strategy-bi-strategic-planning,"Stakeholders, information gathering, priorities, executive summary",WEB_VERIFIED_2026-09-10,Current planning support.
SBA5;SBA7;SBA9,RECOMMENDED VIDEO,storytelling with data - celebrating a decade of data storytelling,https://www.youtube.com/watch?v=99zlHv1fNdw,2025 session; no reliable chapter timestamps retrieved,VIDEO_METADATA_VERIFIED_2026-09-10,No filler; internal executive-summary method remains sufficient.
SBA5,CURRENT TRAINING,Microsoft Learn - Design effective reports in Power BI,https://learn.microsoft.com/en-us/training/paths/power-bi-effective/,5h07 path; use only relevant storytelling/report-design modules,WEB_VERIFIED_2026-09-10,Optional broader learning path.
SBA5,OPTIONAL AI SUPPORT,Power BI Smart Narrative,https://learn.microsoft.com/en-us/power-bi/visuals/power-bi-visualization-smart-narrative,Narrative summaries; current 2026 behavior,WEB_VERIFIED_2026-09-10,Draft support only; analyst verifies facts/decision.
SBA5,OPTIONAL AI SUPPORT,Copilot Explore Data / executive summary tutorial,https://learn.microsoft.com/en-us/power-bi/create-reports/tutorial-copilot-power-bi-explore-data,Executive summary example,WEB_VERIFIED_2026-09-10,Optional; no dependency.
SBA5,OPTIONAL AI SUPPORT,Copilot narrative prompts,https://learn.microsoft.com/en-us/power-bi/create-reports/copilot-prompts-narratives,Focused/refined narrative prompts,WEB_VERIFIED_2026-09-10,Current tenant/capacity restrictions may apply.
SBA4;SBA10,CURRENT CERTIFICATION CONTEXT,PL-300 Study Guide,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/pl-300,"Business value, stakeholders, analytics/data engineer collaboration",WEB_VERIFIED_2026-09-10,"Supporting profile alignment, not exam-only teaching."
SBA11,OPTIONAL TOOL REFERENCE,GitHub - Reviewing changes in pull requests,https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests,Review tooling,WEB_VERIFIED_2026-09-10,Review competency is tool-agnostic.
SBA12,CURRENT REFERENCE,Fabric adoption roadmap - Data culture,https://learn.microsoft.com/en-us/power-bi/guidance/fabric-adoption-roadmap-data-culture,"Mentoring, enablement, common analytical vocabulary",WEB_VERIFIED_2026-09-10,Professional enablement context.
SBA6,INTERNAL_BOOK,Internal teaching book - SBA6 Presenting uncertainty,,"Known/unknown, scenario range, decision sensitivity, update plan and evidence-language discipline",INTERNAL_AUTHORITATIVE,"Book-led by design; current BI business-alignment guidance is contextual support, not a substitute for the lesson. No filler video assigned."
