lesson_id,title,requirement,teaching_file,start_page,end_page,practice_id,practice_workbook,protected_review,review_page
CAP1,Requirements: receive and clarify an ambiguous business problem,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,6,9,CAP1-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,2
CAP2,Data acquisition: determine required sources,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,10,13,CAP2-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,3
CAP3,SQL extraction: produce and validate analytical dataset,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,14,17,CAP3-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,4
CAP4,"Transformation: choose SQL, Power Query or Python appropriately",CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,18,21,CAP4-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,5
CAP5,Modeling: build the semantic/business model,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,22,25,CAP5-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,6
CAP6,Analysis: calculate and investigate,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,26,29,CAP6-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,7
CAP7,Power BI: create the decision-facing report,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,30,33,CAP7-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,8
CAP8,Validation: reconcile important numbers independently,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,34,37,CAP8-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,9
CAP9,Executive communication: recommendations and limitations,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,38,41,CAP9-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,10
CAP10,Documentation: create an inheritable analysis package,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,42,45,CAP10-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,11
CAP11,"Technical defense: explain SQL, model, DAX and validation decisions",CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,46,49,CAP11-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,12
CAP12,Senior Analyst interview preparation,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,50,53,CAP12-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,13
CAP13,Internal promotion case,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,54,57,CAP13-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,14
CAP14,External job-switch preparation,CORE_REQUIRED,01_CORE_TEACH/C2_09_CAPSTONE_PROMOTION_TEACHING_BOOK_RC1.pdf,58,61,CAP14-DELIVERABLE,02_CAPSTONE/WORK/C2_09_CAPSTONE_EVIDENCE_WORKBOOK_RC1.xlsx,02_CAPSTONE/REVIEW_PROTECTED/C2_09_CAPSTONE_REVIEW_PROTECTED_RC1.pdf,15
PL1,Current exam objectives audit,SUPPLEMENTARY_OPTIONAL,05_PL300_OPTIONAL/C2_09_PL300_SUPPLEMENT_TEACHING_BOOK_RC1.pdf,6,9,PL1-EVIDENCE,05_PL300_OPTIONAL/C2_09_PL300_ASSESSMENT_AND_REPAIR_WORKBOOK_RC1.xlsx,05_PL300_OPTIONAL/PROTECTED,
PL2,Prepare Data assessment,SUPPLEMENTARY_OPTIONAL,05_PL300_OPTIONAL/C2_09_PL300_SUPPLEMENT_TEACHING_BOOK_RC1.pdf,10,13,PL2-EVIDENCE,05_PL300_OPTIONAL/C2_09_PL300_ASSESSMENT_AND_REPAIR_WORKBOOK_RC1.xlsx,05_PL300_OPTIONAL/PROTECTED,
PL3,Model Data assessment,SUPPLEMENTARY_OPTIONAL,05_PL300_OPTIONAL/C2_09_PL300_SUPPLEMENT_TEACHING_BOOK_RC1.pdf,14,17,PL3-EVIDENCE,05_PL300_OPTIONAL/C2_09_PL300_ASSESSMENT_AND_REPAIR_WORKBOOK_RC1.xlsx,05_PL300_OPTIONAL/PROTECTED,
