baseline_asset,disposition,note
C2_100 Start Here,REBUILT,3-page exact route with four-status separation
C2_101 Capstone Brief,REBUILT,4-page Meridian project brief; no solved output
C2_102 Capstone Data,BYTE_PRESERVED,Baseline data ZIP copied exactly; SHA-256 5943516acb84c400705d14c20ca2f3f3feaa924b3484fde97130a2d501feb15e
C2_103 Submission Checklist,REBUILT_MERGED,Submission requirements integrated into project brief/rubric/evidence workbook
C2_104 Evaluation Rubric,REBUILT,Critical-floor rubric; no percentage gaming
C2_105 Capstone Review,REBUILT,15-page criterion-only protected review; no solved Meridian answer
C2_106 Interview Book,REBUILT,11-page evidence-led interview companion
C2_107 Promotion Workbook,REBUILT,Promotion + external job-switch evidence workbook with truth/confidentiality controls
C2_108 PL300 Alignment Book,REBUILT,39-page PL1-PL8 beginner-first supplement with 2026 current official scope
C2_109 PL300 Practice Assessment,REBUILT,Original 40Q closed-book assessment + protected rationale + changed 20Q retest
C2_110 PL300 Weak Area Repair,REBUILT_MERGED,Objective-level repair log in PL300 workbook + PL7 teaching
C2_113 DE Readiness,REBUILT_AND_REPOSITIONED,Optional transfer evidence only; direct route remains C2B/C3
C2_114 Completion Record,REBUILT,Explicit core/PL300/promotion/DE status separation
