lesson_id,title,start_page,end_page,practice_id,teaching_file,practice_file,protected_review_file,protected_review_page
ASQL1,Advanced joins and grain control,3,4,P-ASQL1,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
ASQL2,Subqueries and derived tables,5,6,P-ASQL2,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
ASQL3,CTEs and readable query architecture,7,8,P-ASQL3,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
ASQL4,Window functions fundamentals,9,10,P-ASQL4,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
ASQL5,"Ranking, partitions and running calculations",11,12,P-ASQL5,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
ASQL6,"LAG, LEAD and time-based comparisons",13,14,P-ASQL6,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
ASQL7,Conditional aggregation and advanced KPI queries,15,16,P-ASQL7,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
ASQL8,Date and time analysis,17,18,P-ASQL8,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
ASQL9,Data-quality investigation with SQL,19,20,P-ASQL9,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
ASQL10,Query debugging and validation,21,22,P-ASQL10,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
ASQL11,"Performance concepts: indexes, scans and EXPLAIN",23,24,P-ASQL11,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,12
ASQL12,Maintainable production-style analytical SQL,25,26,P-ASQL12,01_TEACH/C2_02_ADVANCED_SQL_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,13
