lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_section,practice_file,protected_review_file,protected_review_page
ASQL1,Advanced joins and grain control,6,9,P-ASQL1,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
ASQL2,Subqueries and derived tables,10,13,P-ASQL2,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
ASQL3,CTEs and readable query architecture,14,17,P-ASQL3,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
ASQL4,Window functions fundamentals,18,21,P-ASQL4,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
ASQL5,"Ranking, partitions and running calculations",22,25,P-ASQL5,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
ASQL6,"LAG, LEAD and time-based comparisons",26,29,P-ASQL6,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
ASQL7,Conditional aggregation and advanced KPI queries,30,33,P-ASQL7,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
ASQL8,Date and time analysis,34,37,P-ASQL8,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
ASQL9,Data-quality investigation with SQL,38,41,P-ASQL9,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
ASQL10,Query debugging and validation,42,45,P-ASQL10,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
ASQL11,"Performance concepts: indexes, scans and EXPLAIN",46,49,P-ASQL11,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,12
ASQL12,Maintainable production-style analytical SQL,50,53,P-ASQL12,02_PRACTICE/C2_02_ADVANCED_SQL_PRACTICE_TASKS_RC1.sql,04_ASSESSMENT/REVIEWS/C2_02_PRACTICE_REVIEW_PROTECTED_RC1.pdf,13
