lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_id,practice_file,protected_review,review_page
PYA1,Writing reusable analyst scripts,6,9,P-PYA1,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
PYA2,Functions and modular code,10,13,P-PYA2,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
PYA3,Robust pandas transformations,14,17,P-PYA3,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
PYA4,Multi-file processing,18,21,P-PYA4,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
PYA5,Excel automation workflows,22,25,P-PYA5,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
PYA6,CSV and JSON handling,26,29,P-PYA6,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
PYA7,APIs for analysts,30,33,P-PYA7,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
PYA8,Error handling and defensive scripts,34,37,P-PYA8,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
PYA9,Logging and validation checks,38,41,P-PYA9,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
PYA10,Automated recurring reporting,42,45,P-PYA10,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
PYA11,Reproducible analytical pipelines,46,49,P-PYA11,02_PRACTICE/C2_05_PRACTICE_NOTEBOOK_RC1.ipynb,04_ASSESSMENT/REVIEWS/C2_05_PRACTICE_REVIEW_PROTECTED_RC1.pdf,12
